Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
631.8605,27 bytes,8904,56,80,0.0381,0.0964,0.1299,0.1662,0.4233,1
665.4338,28 bytes,9000,0,100,0.0182,0.1202,0.1567,0.2063,0.3635,2
867.6285,28 bytes,9000,0,125,0.0118,0.0576,0.1035,0.1518,1.0992,2
866.3498,28 bytes,8910,0,135,0.0241,0.0765,0.1107,0.1533,2.1628,2
706.2422,27 bytes,8853,107,160,0.0397,0.0757,0.0972,0.1418,3.0558,1
612.7190,28 bytes,9000,0,180,0.0479,0.0854,0.1086,0.1491,5.7427,2
808.8988,28 bytes,9000,0,200,0.0146,0.0562,0.0903,0.1336,5.5727,2
784.7256,28 bytes,9000,0,300,0.0188,0.0585,0.1002,0.1635,6.8420,2
673.0362,27 bytes,8537,263,400,0.0291,0.0491,0.0718,0.1653,8.2913,1
651.0240,28 bytes,9000,0,500,0.0258,0.0450,0.0594,0.0840,11.5593,2
863.9672,28 bytes,9000,0,1000,0.0179,0.0457,0.0757,1.3509,9.3600,2
838.5844,28 bytes,10000,0,10,0.0053,0.0104,0.0149,0.0200,0.0323,2
668.1846,28 bytes,9998,2,20,0.0148,0.0282,0.0365,0.0456,0.0653,1
693.9266,28 bytes,10000,0,50,0.0200,0.0632,0.0837,0.1139,0.1829,2
863.2610,28 bytes,9940,0,70,0.0109,0.0523,0.1024,0.1369,0.5302,2
650.9450,27 bytes,9975,25,80,0.0498,0.1046,0.1315,0.1581,0.2849,1
634.2317,28 bytes,10000,0,100,0.0314,0.1194,0.1516,0.2002,0.3764,2
743.9165,28 bytes,10000,0,125,0.0193,0.0675,0.1107,0.1612,2.4585,2
638.7097,28 bytes,9923,67,135,0.0500,0.1009,0.1349,0.1710,0.8465,1
629.3905,28 bytes,9920,0,160,0.0222,0.1047,0.1268,0.1654,2.8640,2
857.8769,28 bytes,9900,0,180,0.0150,0.0550,0.0938,0.1463,4.8660,2
869.8816,28 bytes,10000,0,200,0.0210,0.0619,0.0996,0.1451,4.9259,3
1024.6354,28 bytes,9900,0,300,0.0146,0.0643,0.1061,0.1624,4.8412,3
1066.3746,28 bytes,10000,0,400,0.0163,0.0718,0.1179,0.1935,4.6477,3
677.1297,27 bytes,9674,326,500,0.0250,0.0433,0.0638,0.1640,10.7989,1
635.8046,28 bytes,10000,0,1000,0.0150,0.0288,0.0411,0.3796,14.4092,2
779.3672,28 bytes,15000,0,10,0.0057,0.0114,0.0161,0.0214,0.0329,2
